Date,Business Name,Business Type,Zip Code,Latitude,Longitude,Foot Traffic Volume,Duration of Stay,Peak Foot Traffic Time,Traffic Trend (Week),Traffic Trend (Month)
2024-01-01,Taste Corner,Store,95116,37.3969,-121.812332,154,01:53,Morning,3.29,-5.64
2024-01-01,Deli Delight,Store,95125,37.356946,-121.870806,260,00:08,Morning,9.59,15.52
2024-01-01,Urban Goods,Restaurant,95112,37.308439,-121.843332,383,00:41,Evening,-9.57,7.54
2024-01-02,Deli Delight,Store,95133,37.309841,-121.896552,402,00:31,Afternoon,-7.36,-3.37
2024-01-02,Urban Goods,Restaurant,95112,37.399679,-121.857127,418,00:55,Morning,9.33,8.25
2024-01-02,Bistro 101,Restaurant,95113,37.311283,-121.801997,67,00:10,Afternoon,5.72,-19.26
2024-01-03,Boutique Charm,Restaurant,95126,37.338772,-121.801118,70,00:38,Afternoon,-6.45,12.37
2024-01-03,Urban Goods,Store,95148,37.346115,-121.838287,359,00:11,Morning,0.04,4.0
2024-01-03,Taco Fiesta,Store,95125,37.353924,-121.864495,236,00:06,Afternoon,-1.83,2.87
2024-01-04,Taste Corner,Store,95128,37.307313,-121.865821,182,00:13,Evening,-4.93,-14.06
2024-01-04,Bistro 101,Store,95112,37.358501,-121.863682,420,00:41,Evening,-5.15,7.77
2024-01-04,Green Grocers,Restaurant,95110,37.31648,-121.812347,208,00:22,Evening,9.1,-12.72
2024-01-05,Taste Corner,Store,95110,37.35404,-121.883234,92,00:10,Morning,4.48,7.87
2024-01-05,Green Grocers,Store,95116,37.332592,-121.881259,471,01:00,Afternoon,9.86,-2.83
2024-01-05,Green Grocers,Store,95116,37.356944,-121.898566,395,00:05,Evening,7.37,5.45
2024-01-06,Taste Corner,Restaurant,95116,37.340023,-121.863416,463,00:12,Evening,1.26,19.02
2024-01-06,Green Grocers,Restaurant,95110,37.36828,-121.838057,190,00:47,Evening,5.75,17.51
2024-01-06,Baker's Dozen,Store,95133,37.335673,-121.863138,423,00:40,Afternoon,-9.02,-14.71
2024-01-07,Deli Delight,Restaurant,95148,37.352892,-121.821394,73,00:15,Afternoon,-9.42,-10.54
2024-01-07,Baker's Dozen,Store,95113,37.312812,-121.832527,166,00:22,Morning,-5.71,2.43
2024-01-07,Deli Delight,Restaurant,95116,37.35435,-121.885778,276,00:07,Morning,-7.49,-15.2
2024-01-08,Taste Corner,Store,95148,37.393056,-121.808934,115,00:33,Morning,8.93,-4.66
2024-01-08,Boutique Charm,Restaurant,95126,37.342664,-121.839572,456,01:41,Afternoon,-9.99,9.77
2024-01-08,Market Fresh,Restaurant,95122,37.369067,-121.853542,497,01:20,Evening,-8.27,2.36
2024-01-09,Deli Delight,Restaurant,95128,37.329606,-121.829992,297,01:21,Evening,-9.95,6.34
2024-01-09,Baker's Dozen,Restaurant,95133,37.393162,-121.873176,462,01:20,Afternoon,-5.11,13.65
2024-01-09,Green Grocers,Store,95148,37.38501,-121.887545,246,00:26,Afternoon,0.57,8.74
2024-01-10,Market Fresh,Restaurant,95125,37.380015,-121.882377,75,00:13,Evening,9.6,-6.98
2024-01-10,Taco Fiesta,Store,95116,37.385693,-121.888731,321,00:55,Morning,-0.12,-5.54
2024-01-10,Bistro 101,Store,95148,37.338653,-121.893583,287,00:24,Morning,3.6,-7.27
2024-01-11,Bistro 101,Restaurant,95128,37.346704,-121.819501,457,00:45,Morning,4.99,-14.38
2024-01-11,Deli Delight,Restaurant,95125,37.344254,-121.836883,365,00:06,Afternoon,0.67,16.39
2024-01-11,Taco Fiesta,Store,95122,37.384748,-121.872439,403,00:51,Morning,8.93,-19.51
2024-01-12,Urban Goods,Store,95131,37.380697,-121.822661,311,00:27,Morning,-9.88,18.11
2024-01-12,Boutique Charm,Store,95128,37.370204,-121.873248,448,01:05,Evening,-3.47,0.38
2024-01-12,Urban Goods,Store,95133,37.316255,-121.816372,243,00:29,Evening,7.83,9.54
2024-01-13,Deli Delight,Store,95131,37.36054,-121.863144,235,01:44,Evening,5.42,12.09
2024-01-13,Market Fresh,Store,95112,37.342673,-121.886134,428,01:30,Afternoon,4.96,-14.71
2024-01-13,Deli Delight,Store,95112,37.319433,-121.824655,227,00:07,Evening,-7.21,-10.88
2024-01-14,Taco Fiesta,Restaurant,95113,37.305928,-121.845511,278,00:55,Evening,-9.79,6.17
2024-01-14,Market Fresh,Restaurant,95128,37.372085,-121.830707,157,00:29,Afternoon,9.65,16.3
2024-01-14,Taco Fiesta,Restaurant,95126,37.318018,-121.808914,99,00:30,Evening,6.6,-19.53
2024-01-15,Taco Fiesta,Store,95110,37.320686,-121.829794,76,00:52,Morning,2.97,9.3
2024-01-15,Green Grocers,Restaurant,95112,37.323879,-121.886762,301,01:09,Evening,0.52,-10.34
2024-01-15,Bistro 101,Store,95131,37.328033,-121.857038,52,00:27,Afternoon,3.11,-13.1
2024-01-16,Boutique Charm,Store,95125,37.373829,-121.847365,454,01:25,Afternoon,4.47,2.35
2024-01-16,Boutique Charm,Restaurant,95110,37.308389,-121.85093,236,01:19,Afternoon,3.37,-17.22
2024-01-16,Urban Goods,Store,95110,37.379512,-121.808061,333,00:44,Evening,-1.26,4.42
2024-01-17,Taste Corner,Store,95126,37.323483,-121.804354,488,00:12,Morning,-9.58,-9.47
2024-01-17,Taco Fiesta,Store,95131,37.388311,-121.898635,303,00:22,Evening,-9.05,11.32
2024-01-17,Baker's Dozen,Store,95125,37.31546,-121.802617,434,00:48,Afternoon,-8.26,-13.33
2024-01-18,Taco Fiesta,Store,95122,37.389537,-121.807202,494,00:13,Evening,-0.33,-18.97
2024-01-18,Baker's Dozen,Store,95116,37.398654,-121.858587,300,00:59,Evening,5.74,18.19
2024-01-18,Urban Goods,Store,95131,37.366397,-121.838905,291,01:25,Morning,1.88,-4.52
2024-01-19,Deli Delight,Store,95116,37.384629,-121.81643,147,00:36,Afternoon,1.05,17.16
2024-01-19,Deli Delight,Restaurant,95126,37.37722,-121.800274,217,01:30,Afternoon,9.83,19.05
2024-01-19,Baker's Dozen,Store,95113,37.396162,-121.827213,399,00:40,Afternoon,5.6,17.65
2024-01-20,Boutique Charm,Restaurant,95128,37.37288,-121.820962,216,00:14,Evening,-7.26,-12.09
2024-01-20,Deli Delight,Store,95116,37.33415,-121.832255,381,00:29,Evening,7.87,13.23
2024-01-20,Taste Corner,Store,95133,37.352205,-121.863237,168,00:48,Afternoon,-1.32,15.29
2024-01-21,Green Grocers,Restaurant,95110,37.381503,-121.875453,248,00:42,Morning,-9.73,-11.22
2024-01-21,Boutique Charm,Restaurant,95122,37.325187,-121.841467,182,00:30,Evening,-9.72,17.27
2024-01-21,Taco Fiesta,Store,95125,37.355537,-121.88946,108,00:05,Evening,-3.45,-12.54
2024-01-22,Boutique Charm,Store,95113,37.33334,-121.892957,388,00:08,Evening,-9.72,-19.35
2024-01-22,Taste Corner,Restaurant,95133,37.346973,-121.815066,474,01:53,Afternoon,-8.35,-5.87
2024-01-22,Boutique Charm,Restaurant,95110,37.386484,-121.865033,370,00:08,Evening,5.6,11.57
2024-01-23,Baker's Dozen,Store,95131,37.372201,-121.833389,325,01:15,Afternoon,3.25,16.82
2024-01-23,Boutique Charm,Restaurant,95148,37.37771,-121.816964,215,00:55,Morning,-3.1,7.09
2024-01-23,Urban Goods,Store,95133,37.395087,-121.870904,138,00:51,Evening,-6.69,15.36
2024-01-24,Taco Fiesta,Restaurant,95125,37.301162,-121.874817,56,01:26,Evening,8.85,11.49
2024-01-24,Market Fresh,Restaurant,95116,37.346817,-121.860916,374,01:12,Morning,7.46,5.38
2024-01-24,Bistro 101,Store,95133,37.37095,-121.828834,195,01:11,Evening,-9.12,-8.34
2024-01-25,Bistro 101,Restaurant,95148,37.344093,-121.841636,202,00:21,Afternoon,-6.18,-11.97
2024-01-25,Boutique Charm,Restaurant,95126,37.369372,-121.857511,183,00:55,Evening,-7.61,12.4
2024-01-25,Baker's Dozen,Store,95128,37.302488,-121.807302,128,01:31,Afternoon,5.92,-19.31
2024-01-26,Bistro 101,Store,95133,37.312842,-121.896513,204,00:30,Morning,-0.31,-14.22
2024-01-26,Urban Goods,Restaurant,95110,37.324911,-121.868621,346,00:36,Morning,3.0,-18.09
2024-01-26,Baker's Dozen,Restaurant,95126,37.372917,-121.868499,331,01:27,Afternoon,-3.69,-1.92
2024-01-27,Taste Corner,Store,95128,37.336399,-121.889965,326,01:39,Afternoon,-8.49,15.97
2024-01-27,Bistro 101,Store,95116,37.319787,-121.863228,489,00:56,Evening,-6.77,3.69
2024-01-27,Baker's Dozen,Restaurant,95110,37.352214,-121.81173,465,00:21,Evening,0.95,-9.97
2024-01-28,Baker's Dozen,Store,95113,37.322067,-121.847644,57,01:36,Evening,3.5,7.95
2024-01-28,Green Grocers,Restaurant,95113,37.321501,-121.867366,456,00:14,Morning,9.78,8.06
2024-01-28,Boutique Charm,Store,95113,37.383142,-121.877737,119,00:41,Evening,-7.62,3.47
2024-01-29,Deli Delight,Restaurant,95131,37.384636,-121.895025,161,00:20,Evening,-7.38,-3.57
2024-01-29,Taco Fiesta,Store,95126,37.328912,-121.857916,458,00:30,Afternoon,6.98,-18.97
2024-01-29,Taste Corner,Store,95148,37.348631,-121.816044,211,01:51,Morning,6.43,-17.53
2024-01-30,Baker's Dozen,Restaurant,95128,37.342343,-121.806713,446,00:05,Evening,-4.84,6.9
2024-01-30,Urban Goods,Restaurant,95148,37.311543,-121.866243,392,00:15,Afternoon,-5.81,13.18
2024-01-30,Boutique Charm,Store,95148,37.330141,-121.851366,101,00:51,Afternoon,3.55,-1.53
2024-01-31,Boutique Charm,Store,95128,37.346674,-121.873096,330,01:04,Evening,-0.4,16.68
2024-01-31,Bistro 101,Restaurant,95131,37.325308,-121.887897,423,00:22,Morning,-9.95,-17.02
2024-01-31,Bistro 101,Store,95113,37.342641,-121.844017,163,00:50,Evening,8.85,13.36
2024-02-01,Taste Corner,Store,95131,37.385593,-121.873776,437,00:55,Afternoon,-8.14,17.6
2024-02-01,Taco Fiesta,Restaurant,95126,37.383083,-121.831178,305,00:12,Morning,8.05,14.11
2024-02-01,Market Fresh,Restaurant,95113,37.375887,-121.809304,189,00:38,Evening,-9.07,7.88
2024-02-02,Baker's Dozen,Restaurant,95110,37.374701,-121.803909,407,00:13,Evening,-2.92,2.63
2024-02-02,Taste Corner,Restaurant,95148,37.391311,-121.853586,331,01:24,Afternoon,-9.09,13.35
2024-02-02,Bistro 101,Store,95110,37.356882,-121.803579,250,01:29,Evening,3.05,-18.8
2024-02-03,Deli Delight,Restaurant,95113,37.350437,-121.844324,367,00:30,Evening,6.66,-5.95
2024-02-03,Baker's Dozen,Store,95112,37.386836,-121.878856,264,00:23,Morning,6.13,5.93
2024-02-03,Bistro 101,Store,95110,37.331001,-121.839227,111,00:56,Afternoon,7.41,-2.99
2024-02-04,Green Grocers,Store,95116,37.356834,-121.864958,339,00:19,Evening,9.42,-13.24
2024-02-04,Deli Delight,Restaurant,95131,37.369456,-121.843276,220,01:15,Evening,6.32,-10.95
2024-02-04,Boutique Charm,Restaurant,95112,37.391278,-121.817337,307,01:04,Evening,-1.34,9.23
2024-02-05,Bistro 101,Restaurant,95148,37.324729,-121.829657,401,00:47,Afternoon,-2.13,-18.88
2024-02-05,Baker's Dozen,Store,95122,37.388453,-121.868879,455,00:39,Evening,0.41,-13.43
2024-02-05,Green Grocers,Store,95125,37.348488,-121.87027,340,00:44,Morning,-5.97,-16.05
2024-02-06,Boutique Charm,Store,95133,37.357388,-121.897159,178,00:17,Evening,-9.89,8.27
2024-02-06,Taste Corner,Restaurant,95122,37.322094,-121.802621,166,01:32,Afternoon,6.43,0.2
2024-02-06,Bistro 101,Store,95110,37.381179,-121.892922,398,00:30,Morning,-8.63,7.01
2024-02-07,Deli Delight,Store,95122,37.395317,-121.801975,178,01:47,Morning,-2.95,1.58
2024-02-07,Baker's Dozen,Store,95110,37.329739,-121.875621,200,00:36,Evening,-2.41,19.21
2024-02-07,Boutique Charm,Restaurant,95131,37.385789,-121.886082,153,00:32,Morning,2.02,3.02
2024-02-08,Boutique Charm,Restaurant,95110,37.376749,-121.869317,349,00:19,Afternoon,6.03,-8.93
2024-02-08,Market Fresh,Restaurant,95110,37.32953,-121.846589,402,01:15,Evening,3.33,-18.46
2024-02-08,Bistro 101,Store,95112,37.319179,-121.854689,163,00:34,Morning,-1.16,8.52
2024-02-09,Green Grocers,Store,95116,37.324165,-121.86834,283,01:45,Afternoon,-2.79,11.95
2024-02-09,Deli Delight,Restaurant,95131,37.30686,-121.859346,452,00:46,Morning,4.25,19.36
2024-02-09,Taco Fiesta,Store,95125,37.326754,-121.8845,366,00:16,Morning,5.54,-14.27
2024-02-10,Taste Corner,Store,95128,37.321207,-121.860881,262,01:51,Afternoon,4.55,6.33
2024-02-10,Urban Goods,Restaurant,95128,37.342886,-121.821219,267,00:39,Afternoon,-1.12,-16.46
2024-02-10,Taco Fiesta,Restaurant,95148,37.341845,-121.884542,270,00:17,Afternoon,1.78,4.53
2024-02-11,Baker's Dozen,Store,95128,37.397128,-121.854926,146,00:53,Afternoon,5.98,-10.56
2024-02-11,Baker's Dozen,Store,95110,37.382585,-121.899661,344,00:39,Morning,-8.18,-17.06
2024-02-11,Boutique Charm,Restaurant,95125,37.313268,-121.815901,494,00:05,Morning,-8.78,16.43
2024-02-12,Deli Delight,Store,95128,37.309306,-121.823878,378,00:06,Morning,2.95,-19.99
2024-02-12,Taste Corner,Store,95125,37.361049,-121.857887,273,00:58,Morning,-7.66,-10.65
2024-02-12,Market Fresh,Restaurant,95131,37.378127,-121.851439,150,00:38,Morning,-2.09,-2.49
2024-02-13,Urban Goods,Restaurant,95126,37.363618,-121.807644,75,00:19,Evening,-9.62,16.14
2024-02-13,Bistro 101,Store,95148,37.391266,-121.897186,346,00:16,Morning,-5.14,3.18
2024-02-13,Green Grocers,Restaurant,95112,37.322726,-121.801033,497,01:57,Evening,4.27,18.07
2024-02-14,Urban Goods,Restaurant,95122,37.306019,-121.864064,225,00:18,Morning,2.95,1.56
2024-02-14,Market Fresh,Restaurant,95113,37.342673,-121.896241,329,01:43,Morning,8.88,-16.66
2024-02-14,Boutique Charm,Restaurant,95131,37.305126,-121.850945,193,00:13,Afternoon,-2.08,-12.21
2024-02-15,Bistro 101,Restaurant,95148,37.392236,-121.877826,307,00:07,Afternoon,9.26,1.44
2024-02-15,Baker's Dozen,Store,95112,37.311477,-121.886768,63,01:57,Afternoon,-9.35,-11.76
2024-02-15,Green Grocers,Store,95113,37.336967,-121.800674,319,00:15,Afternoon,-5.76,1.8
2024-02-16,Urban Goods,Store,95112,37.320617,-121.850545,109,01:57,Afternoon,2.0,-18.54
2024-02-16,Taco Fiesta,Restaurant,95113,37.32558,-121.84988,229,00:33,Afternoon,-5.24,-13.07
2024-02-16,Baker's Dozen,Store,95128,37.303375,-121.820265,404,01:36,Morning,-7.38,19.21
2024-02-17,Taco Fiesta,Store,95126,37.333519,-121.832218,74,00:48,Evening,3.83,-14.99
2024-02-17,Urban Goods,Store,95133,37.304595,-121.871597,412,00:16,Evening,-4.67,11.27
2024-02-17,Boutique Charm,Restaurant,95125,37.333342,-121.880823,82,00:33,Morning,5.05,6.31
2024-02-18,Boutique Charm,Restaurant,95110,37.385094,-121.892076,392,00:20,Afternoon,-7.76,-5.14
2024-02-18,Baker's Dozen,Store,95148,37.306258,-121.886188,296,01:00,Morning,8.19,9.37
2024-02-18,Green Grocers,Store,95128,37.371437,-121.840384,248,01:13,Evening,3.94,-16.5
2024-02-19,Green Grocers,Store,95126,37.373185,-121.810847,82,00:32,Evening,6.26,-3.85
2024-02-19,Baker's Dozen,Store,95133,37.368497,-121.890456,277,00:13,Evening,-4.24,19.31
2024-02-19,Boutique Charm,Store,95126,37.355904,-121.87889,474,00:59,Morning,-1.15,-7.23
2024-02-20,Baker's Dozen,Restaurant,95126,37.370852,-121.892107,402,01:54,Evening,-3.69,6.02
2024-02-20,Deli Delight,Store,95126,37.332849,-121.872692,187,00:34,Afternoon,1.59,8.05
2024-02-20,Green Grocers,Store,95110,37.357866,-121.84594,400,00:58,Evening,3.03,5.61
